id,name,state,created_at,tags,url,arch,ratio,dataset,epochs,steps_per_epoch,batch_size,image_size,learning_rate,use_2d_fusion,use_hilbert,use_zigzag,ssm_state_dim,emb_features,num_layers,num_heads,patch_size,noise_schedule,ema_decay,augmentation_mode,step,runtime_sec,best_val_clip_score,val_clip_score,best_val_clip_similarity,val_clip_similarity,best_val_loss,val_loss,train_loss,train_best_loss,train_avg_loss
dk7sp0y1,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d+hilbert/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--5035514550883682296/date-2026-04-28_06:47:10,finished,2026-04-20T03:14:41Z,[],https://wandb.ai/umd-projects/msml612-training/runs/dk7sp0y1,hybrid_dit+2d+hilbert,3:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,471001,91114,21.328125,21.328125,0.78662109375,0.78662109375,,,0.3289843201637268,0.327187180519104,0.327187180519104
mybh0k61,SSM-LDM-manual-dataset-laion12m_coco/image_size-256/batch-128/schd-edm/dtype-float32/arch-hybrid_dit/lr-0.0001/resblks-2/emb-768/pure-attn-True/arguments_hash--2696402743469803734/date-2026-04-20_00:25:27,crashed,2026-04-20T00:25:30Z,[],https://wandb.ai/umd-projects/msml612-training/runs/mybh0k61,hybrid_dit,3:1,laion12m_coco,2000,50000,128,256,0.0001,,False,,64,768,16,12,2,edm,0.999,flip_jitter,556201,101204.63465663,21,21,0.7900390625,0.7900390625,,,0.3222217559814453,0.32987990975379944,0.3310832679271698
lcaztnf8,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--9196731248636770490/date-2026-04-20_00:25:03,crashed,2026-04-20T00:25:05Z,[],https://wandb.ai/umd-projects/msml612-training/runs/lcaztnf8,hybrid_dit+2d,all-ssm,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,15722,10955.660221354,28.46875,28.1875,0.71533203125,0.71826171875,,,0.4540388286113739,0.46087679266929626,0.4643877148628235
azioyhka,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash-4149243696618633847/date-2026-04-19_21:58:14,finished,2026-04-19T21:58:16Z,[],https://wandb.ai/umd-projects/msml612-training/runs/azioyhka,hybrid_dit+2d+zigzag,3:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,19050,8151.806381379,28.65625,28.375,0.71337890625,0.71630859375,,,0.46777594089508057,0.4531278908252716,0.4531278908252716
k0utd8v5,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d+hilbert/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--3025933403615135169/date-2026-04-16_18:59:18,finished,2026-04-16T18:59:20Z,[],https://wandb.ai/umd-projects/msml612-training/runs/k0utd8v5,hybrid_dit+2d+hilbert,all-ssm,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,19050,7696.209790182,28.375,28.34375,0.71630859375,0.716796875,,,0.4705652892589569,0.4547829031944275,0.4547829031944275
srm8avoo,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--1665808193470664308/date-2026-04-16_15:04:00,finished,2026-04-16T15:04:02Z,[],https://wandb.ai/umd-projects/msml612-training/runs/srm8avoo,hybrid_dit+2d,3:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,19050,12306.332036626,28.609375,28.375,0.7138671875,0.71630859375,,,0.4670149087905884,0.4511992633342743,0.4511992633342743
3u0fbiwp,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+2d+hilbert/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--3881919629689746447/date-2026-04-16_06:35:45,finished,2026-04-16T06:35:47Z,[],https://wandb.ai/umd-projects/msml612-training/runs/3u0fbiwp,hybrid_dit+2d+hilbert,3:1,oxford_flowers102,150,,64,256,0.0003,False,False,False,64,512,16,8,2,edm,0.999,flip_jitter,19050,7654.606851211,28.59375,28.390625,0.71435546875,0.7158203125,,,0.4675047993659973,0.4527248442173004,0.4527248442173004
i2xr8nsf,SSM-LDM-manual-dataset-oxford_flowers102/image_size-256/batch-64/schd-edm/dtype-float32/arch-hybrid_dit+zigzag/lr-0.0003/resblks-2/emb-512/pure-attn-True/arguments_hash--2071382714589402534/date-2026-04-16_03:40:42,finished,2026-04-16T03:40:44Z,[],https://wandb.ai/umd-projects/msml612-training/runs/i2xr8nsf,hybrid_dit+zigzag,3:1,oxford_flowers102,150,,64,256,0.0003,,False,False,64,512,16,8,2,edm,0.999,flip_jitter,19050,6717.465650067,28.53125,28.21875,0.71484375,0.7177734375,,,0.4753075838088989,0.4612102508544922,0.4612102508544922
uxkhvncx,SSM-LDM-manual-dataset-laion12m_coco/image_size-256/batch-128/schd-edm/dtype-float32/arch-hybrid_dit+hilbert/lr-0.0001/resblks-2/emb-768/pure-attn-True/arguments_hash--1635330034767327930/date-2026-04-15_08:01:27,crashed,2026-04-15T08:01:44Z,[],https://wandb.ai/umd-projects/msml612-training/runs/uxkhvncx,hybrid_dit+hilbert,3:1,laion12m_coco,2000,50000,128,256,0.0001,,False,,64,768,16,12,2,edm,0.999,flip_jitter,2178001,396160.627320199,22.15625,11.96875,0.7783203125,0.88037109375,,,0.5571388006210327,0.32691165804862976,0.5739601254463196
phx5t29w,LDM-manual-dataset-laion12m_coco/image_size-256/batch-128/schd-edm/dtype-float32/arch-simple_dit/lr-0.0001/resblks-2/emb-768/pure-attn-True/arguments_hash-6809912376828415137/date-2026-04-15_07:37:20,failed,2026-04-15T07:37:22Z,[],https://wandb.ai/umd-projects/msml612-training/runs/phx5t29w,simple_dit,3:1,laion12m_coco,2000,50000,128,256,0.0001,,False,,64,768,16,12,2,edm,0.999,flip_jitter,2722401,397706.45784417,22.75,12.5625,0.7724609375,0.8740234375,,,0.6608681678771973,0.32279473543167114,0.6872375011444092
